,pH_level,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,Akermanite,Albite,Aluminium_oxide_hydroxide,Anhydrite,Aragonite,Augite,Biotite,Birnessite,Calcite,Clinochlore,Cuspidine,Diaspore,Dickite,Gehlenite,Goethite,Haematite,Illite,Kaolinite,Langite,Linnaeite,Magnesioferrite,Melilite,Merwinite,Microcline,Mullite,Muscovite,Nitratine,Orthoclase,Orthopyroxene,Periclase,Phengite,Pigeonite,Pseudowollastonite,Quartz,Spinel,Staurolite,Valentinite
Fallin_Bing_1,6.07,38.3,16.75,2.65,0.62,0.75,0.09,1.84,0.012,0.67,0.05,0.11,0.02,0.04,0.00002,0.000072,0.0008,0.001,0.014,0.00014,0.0002,0.000046,0.00005,0.002,10,0.0051,0.000128,0.001,0.0001,0.000017,0.001,0.001,0.00002,0.042,0.0001,0.000001,0.0029,0.034,0.0042,0.000008,0.0002,0.0002,0.0054,0.002,0.000001,0.001,0.001,0.0011,0.001,0.0057,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Fallin_Bing_2,6.403,48.5,15.8,4.99,0.34,0.56,0.07,2.18,0.011,0.91,0.13,0.1,0.01,0.05,0.00002,0.000043,0.0005,0.001,0.017,0.00011,0.0002,0.000025,0.00005,0.0028,7,0.0044,0.000292,0.001,0.0001,0.000019,0.002,0.001,0.000014,0.0978,0.0001,0.000001,0.0031,0.038,0.005,0.000008,0.0002,0.0003,0.0033,0.002,0.000001,0.001,0.001,0.0008,0.001,0.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Fallin_Bing_3,7.073,43.1,17.75,4.02,0.56,0.78,0.1,2.01,0.013,0.77,0.12,0.12,0.01,0.04,2.00E-05,7.60E-05,0.0003,0.001,0.014,0.00014,0.0002,4.00E-05,5.00E-05,0.0023,14,0.0048,0.000217,0.001,0.0001,1.70E-05,0.001,0.001,2.20E-05,0.0945,0.0001,1.00E-06,0.0032,0.037,0.0051,6.00E-06,0.0002,0.0003,0.0038,0.002,1.00E-06,0.001,0.001,0.0015,0.001,0.0044,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Fallin_Bing_4,6.62,40.5,16,5.5,0.52,0.72,0.08,1.83,0.012,0.73,0.09,0.15,0.01,0.04,2.00E-05,7.30E-05,0.0008,0.001,0.016,0.00014,0.0002,3.80E-05,5.00E-05,0.0024,15,0.0044,0.000328,0.001,0.0001,1.80E-05,0.001,0.001,2.10E-05,0.0731,0.0001,1.00E-06,0.0035,0.053,0.0045,9.00E-06,0.0002,0.0004,0.0054,0.002,1.00E-06,0.001,0.001,0.0018,0.001,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Fallin_Bing_5,6.633,37.1,16.2,2.59,0.58,0.71,0.09,1.9,0.011,0.66,0.05,0.14,0.02,0.04,2.00E-05,6.10E-05,0.0005,0.001,0.016,0.00016,0.0002,4.20E-05,5.00E-05,0.0031,9,0.0065,0.000127,0.001,0.0001,1.80E-05,0.001,0.001,1.80E-05,0.0416,0.0001,1.00E-06,0.0035,0.053,0.0069,8.00E-06,0.0002,0.0002,0.0069,0.002,1.00E-06,0.001,0.001,0.001,0.001,0.0054,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Addiewell_Bing_1,5.046,25.4,10.2,5.61,0.77,0.64,0.21,0.81,0.012,0.54,0.14,0.39,0.01,0.03,2.00E-05,0.00026,0.0026,0.001,0.017,0.00015,0.0002,5.00E-05,9.00E-05,0.002,34,0.0087,0.000318,0.001,0.0001,1.90E-05,0.002,0.001,2.00E-05,0.1035,0.0004,3.00E-06,0.0052,0.162,0.0148,1.60E-05,0.0003,0.0003,0.0061,0.002,2.00E-06,0.001,0.001,0.0055,0.001,0.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Addiewell_Bing_2,6.175,35.1,14.45,7.12,1.23,1.08,0.29,1.36,0.014,0.75,0.13,0.42,0.01,0.04,3.00E-05,0.000362,0.0024,0.001,0.02,0.00017,0.0002,8.00E-05,7.00E-05,0.0022,39,0.0056,0.000403,0.001,0.0001,3.40E-05,0.003,0.002,3.70E-05,0.0904,0.0003,4.00E-06,0.0063,0.176,0.0092,1.50E-05,0.0002,0.0006,0.0097,0.002,2.00E-06,0.001,0.001,0.0057,0.001,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Addiewell_Bing_3,6.227,31.7,13.7,7.26,1.15,0.99,0.29,1.23,0.013,0.73,0.14,0.45,0.01,0.04,2.00E-05,0.000349,0.0024,0.001,0.019,0.00018,0.0002,7.40E-05,8.00E-05,0.0023,39,0.0059,0.000413,0.001,0.0001,3.20E-05,0.003,0.002,3.30E-05,0.0999,0.0004,4.00E-06,0.0062,0.19,0.0103,1.70E-05,0.0002,0.0005,0.0087,0.002,3.00E-06,0.001,0.001,0.0059,0.001,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Addiewell_Bing_4,5.989,39,16.4,7.35,1.1,1.22,0.42,1.6,0.014,0.88,0.15,0.47,0.02,0.04,2.00E-05,0.00037,0.006,0.001,0.019,0.00015,0.0002,7.20E-05,8.00E-05,0.0022,40,0.0054,0.000404,0.001,0.0001,4.00E-05,0.003,0.004,3.80E-05,0.1035,0.0003,7.00E-06,0.0061,0.2,0.0036,1.40E-05,0.0002,0.0007,0.0141,0.002,2.00E-06,0.001,0.001,0.0053,0.001,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Addiewell_Bing_5,5.717,42.5,15.95,7.8,0.86,0.9,0.4,1.4,0.015,1.06,0.08,0.36,0.02,0.05,2.00E-05,0.000224,0.002,0.001,0.025,0.00013,0.0002,5.20E-05,5.00E-05,0.0014,30,0.0041,0.000407,0.001,0.0001,2.30E-05,0.002,0.002,2.00E-05,0.0487,0.0002,3.00E-06,0.0043,0.134,0.0065,3.50E-05,0.0002,0.0005,0.0106,0.002,1.00E-06,0.001,0.001,0.0048,0.001,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
