,Agrostis spp.,Agrostis canina,Alchemilla mollis,Alopercus pratensis,Angelica sylvestris,Anthoxanthum odoratum,Anthyllis vulneraria,Aphanes arvensis,Arrhenatherum elatius,Atrichum undulatum,Avenula pratensis,Bellis perennis,Betula pubescens,Blackstonia perfoliata,Brachythecium albicans,Brachythecium glareosum,Brachythecium mildeanum,Brachythecium rutabulum,Briza media,Bromus hordeaceus,Bryum c.f. caespiticium,Bryum c.f. pallescens,Bryum capillare,Bryum spp.,Calliergonella cupsidata,Calypogeia arguta,Campanula rotundifolia,Carex distans,Carex flacca,Carex panicea,Carlina vulgaris,Centaurea nigra,Centaurium erythraea,Centaurium littorale,Centaurium pulchellum,Cerastium fontanum,Chamaenerion angustifolium,Cirriphyllum piliferum,Cirsium arvense,Cirsium palustre,Crepis capillaris,Cynosurus cristatus,Dactylis glomerata,Dactylorhiza fuchsii,Danthonia decumbens,Daucus carrota,Dicranella spp.,Dicranum scoparium,Epilobium montanum,Equisetum arvense,Equisteum variegatum,Erigeron acer,Euphrasia agg,Festuca ovina,Festuca rubra,Festuca rubra agg.,Filipendula ulmaria,Fissidens adianthoides,Fissidens dubius,Fissidens exilis,Fragaria vesca,Galium aparine,Galium arvense,Galium saxatile,Galium verum,Geum urbanum,Glechoma hederacea,Helicotrichon spp.,Heracleum sphondylium,Hieracium spp.,Holcus spp.,Holcus lanatus,Holcus mollis,Homalothecium lutescens,Hylocomium splendens,Hypericum perforatum,Hypnum cupressiforme,Hypnum imponens,Hypnum jutlandicum,Hypochaeris radicata,Kindbergia praelonga,Lathyrus pratensis,Leontodon hispidus,Leontodon saxatilis,Leucanthemum vulgare,Linum catharticum,Lolium perenne,Lophocolea semiteres,Lotus corniculatus,Luzula multiflora,Lysimachia maritima,Medicago lupulina,Myosotis arvensis,Ononis repens,Oxalis acetosella,Pastinaca sativa,Pentaglottis sempervirens,Pillosella officinarum,Plantago coronopus,Plantago lanceolata,Pleurozium schreberi,Poa annua,Poa spp.,Polytrichum commune,Polytrichum commune agg.,Polytrichum formosum,Potentilla reptans,Prunella vulgaris,Pseudoscleropidum purum,Pteridium aquilinum,Ranunculus acris,Ranunculus parviflorus,Ranunculus repens,Reseda lutea,Rhinanthus minor,Rhizomnium punctatum,Rhytidadelphus squarrosus,Rhytidadelphus triquetris,Rubus fruticosus,Sanguisorba minor spp minor,Saniona uncinata,Sedum anglicum,Senecio jacobaea,Senecio vulgaris,Sonchus arvensis,Stachys sylvatica,Stellaria apetala,Taraxacum agg.,Thuidium tamariscinum,Thymus polytrichus,Trichostomum crispulum,Trifolium campestre,Trifolium dubium,Trifolium pratense,Trifolium repens,Trisetum flavescens,Tussilago farfara,Urtica diocia,Veronica officinalis,Vicia sativa,Viola riviniana,Weissia controversa,Zygodon stirtonii
Fallin_Bing_1,0,0,0,0,0,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,30,0,0,0,0,3,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,30,0,0,50,11,0,0,0,0,0,0,0,0,20,0,0,0,69,0,0,0,0,0,0,0,0,0,0,13,110,0,0,0,0,0,0,1,40,0,0,0,0,0,0,160,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallin_Bing_2,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,80,0,0,80,24,10,0,20,0,0,0,0,0,15,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallin_Bing_3,1,0,0,0,0,8,0,0,0,0,0,8,12,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,10,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2,60,0,0,0,0,0,0,0,0,0,0,10,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0
Fallin_Bing_4,0,0,0,0,0,82,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,28,0,0,160,4,10,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,150,20,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallin_Bing_5,0,0,0,0,0,55,0,0,42,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,36,0,0,90,1,20,0,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,120,0,0,0,0,0,0,0,90,0,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addiewell_Bing_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,30,130,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,130,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0
Addiewell_Bing_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,120,80,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,160,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addiewell_Bing_3,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,150,30,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,4,110,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,5,35,1,0,0,0,110,0,0,0,0
Addiewell_Bing_4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,90,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,90,0,20,60,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,10,10,0,0,0,10,0,0,0,0,0,0,110,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addiewell_Bing_5,14,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,150,10,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,50,0,10,0,10,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,0,0,0,0,0,0
